X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,X_20,Y_20,Z_20,X_21,Y_21,Z_21,X_22,Y_22,Z_22,X_23,Y_23,Z_23,X_24,Y_24,Z_24,key
-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,-0.34477234,8.532928,8.532928,1
-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,-0.7565613,9.057266,9.057266,5
-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,-0.48602295,9.289505,9.289505,2
-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,-0.3256073,9.03093,9.03093,3
-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,-0.292099,9.430756,9.430756,3
-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,-0.7733306999999999,9.126694,9.126694,4
-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,-0.39505005,9.54808,9.54808,4
0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,0.30166626,9.497803,9.497803,1
0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,0.17237854,9.540894,9.540894,2
0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,0.5123595999999999,9.387665,9.387665,4
