X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,key
0.7852935999999999,2.7677002,8.966292999999999,0.18675232,3.0023346,9.540894,0.74938965,2.7605133,9.1410675,1
0.70388794,2.779663,9.23204,0.16998291,2.8323364,9.550476,0.6751709,2.700653,9.509766,1
0.52433777,3.0980988,9.284714,0.42138672,2.9472656,9.006989,0.66319275,2.9592285,9.165009,1
-0.88345337,3.9193114999999996,9.121902,-0.23942566,3.2345734,9.672577,-0.23223877,3.7517089999999995,9.2248535,4
-0.06703186,3.3566742,8.214508,0.42138672,3.0573883,9.428360000000001,0.17956543,3.526657,9.18895,2
0.31604004,3.8881836000000005,8.276749,-0.34237670000000003,3.4763794000000003,9.069229,-0.12928772,3.3470917,9.306258999999999,8
-1.0007781999999998,3.7014312999999994,8.956711,-0.26097107,3.4500427000000005,9.229645,-0.43574524,4.0222626,8.772354,8
-0.07182312,3.9983215,8.283936,-0.33758545,3.9743805,9.100357,-0.42138672,3.9959260000000003,8.908828999999999,0
-1.0247191999999998,4.5082855,8.544907,-1.1683655000000002,4.304779,8.599976,-1.0845795,4.297592,8.805878,4
-0.7661438,3.9480437999999993,8.983047500000001,-0.6895294,3.8474884,9.253586,-0.34237670000000003,4.015075700000001,9.165009,6
-0.5099640000000001,4.4149017,8.501816,-0.59376526,4.285614,8.983047500000001,-0.38786316,4.3311157,8.564055999999999,7
-0.6871338,3.7541046000000002,8.398864999999999,-0.47883606,4.1802826,8.920792,-0.39025879999999996,4.2521057,8.6311035,7
-0.5961609,4.3861847,9.162613,-0.11253357,4.1754913,9.1458435,-0.33518982,4.273651,8.602371,5
0.10534668,4.0773315000000006,9.239227,-0.20111084,3.9959260000000003,8.695739999999999,0.05506897,4.2089996,8.894455,9
-0.5961609,4.1802826,8.166625999999999,-0.12928772,4.187454,9.816222999999999,-0.02633667,4.0940857,8.906433,2
-0.09815979,4.1850586000000005,8.987839,-0.08140564,3.9719849000000003,8.841782,-0.06463623,4.055771,8.827423,6
