X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,X_10,Y_10,Z_10,X_11,Y_11,Z_11,X_12,Y_12,Z_12,X_13,Y_13,Z_13,X_14,Y_14,Z_14,X_15,Y_15,Z_15,X_16,Y_16,Z_16,X_17,Y_17,Z_17,X_18,Y_18,Z_18,X_19,Y_19,Z_19,X_20,Y_20,Z_20,X_21,Y_21,Z_21,X_22,Y_22,Z_22,X_23,Y_23,Z_23,X_24,Y_24,Z_24,X_25,Y_25,Z_25,X_26,Y_26,Z_26,X_27,Y_27,Z_27,X_28,Y_28,Z_28,X_29,Y_29,Z_29,key
-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,-1.2452698,5.36409,5.36409,3
-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,-0.15591429999999998,7.947433500000001,7.947433500000001,0
-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,-0.9603729,5.7806854,5.7806854,7
-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,-0.6658783,5.5388794,5.5388794,4
-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,-1.2141571000000002,5.9937744,5.9937744,9
-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,-1.5924377,5.898010299999999,5.898010299999999,9
-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,-1.0681,6.6952667,6.6952667,0
-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,-2.088028,3.4511260000000004,3.4511260000000004,1
-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,-0.80952454,8.119827,8.119827,0
-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,-1.2763977,5.4838104,5.4838104,4
